KEYWORD,URL,CONTENT,GUIDE_ID,SEO_SCORE,DANGER,SOSEO_AVG_3,SOSEO_AVG_5,DSEO_AVG_3,DSEO_AVG_5
basket écologique,https://www.altermundi.com/fr/femme/chaussures-femme/baskets/,Content not available,10886740,0,0,76,57.6,11.333333333333334,8.2
sacs à dos hommes,https://www.altermundi.com/fr/homme/accessoires-homme/sacs-a-dos-homme/,Content not available,10886741,0,0,51,36.8,24.333333333333332,15.6
cadeau pour maman,https://www.altermundi.com/fr/idees-cadeaux/guide-eco-responsable/idees-cadeaux-de-noel-pour-maman/,Content not available,10886742,0,0,44.333333333333336,50.4,6.666666666666667,8.2
cadeaux fait maison pour maman,https://www.altermundi.com/fr/idees-cadeaux/idees-cadeaux-fetes-des-meres/cadeaux-diy-pour-sa-maman/,Content not available,10886755,0,0,69.33333333333333,41.6,19,11.4
baskets homme,https://www.altermundi.com/fr/homme/chaussures-homme/baskets/,Content not available,10886756,0,0,0.6666666666666666,14.2,0,3.2
sac dos homme,https://www.altermundi.com/fr/homme/accessoires-homme/sacs-a-dos-homme/,Content not available,10886757,0,0,53.333333333333336,39.4,25,16.4
cadeaux 15 euros,https://www.altermundi.com/fr/idees-cadeaux/petit-budget/cadeaux-a-moins-de-15/,Content not available,10886758,0,0,47.666666666666664,36,12.333333333333334,7.6
jeux ecologiques,https://www.altermundi.com/fr/enfant/jouets/,Content not available,10886761,0,0,65.33333333333333,73,11.333333333333334,16.4
art diy avis,https://www.altermundi.com/fr/loisirs/livres/livres-diy-et-astuces/,Content not available,10886762,0,0,9,16.4,0.3333333333333333,3.2
sachets reutilisables,https://www.altermundi.com/fr/maison/zero-dechet/sacs-emballages/,Content not available,10886763,0,0,67.33333333333333,67.2,19.666666666666668,21.4
idées cadeau made in france,https://www.altermundi.com/fr/idees-cadeaux/criteres/cadeaux-made-in-france/,Content not available,10886771,0,0,44.333333333333336,36.4,5,3.2
idée cadeaux pour les parents,https://www.altermundi.com/fr/idees-cadeaux/guide-eco-responsable/idees-cadeaux-noel-parents/,Content not available,10886772,0,0,42,48.2,5,6.2
bol bretons personnalisés,https://www.altermundi.com/fr/maison/arts-de-la-table/bols/,Content not available,10886773,0,0,43.666666666666664,37.4,11,7.8
bijoux écolo,https://www.altermundi.com/fr/femme/bijoux/,Content not available,10886781,0,0,60,55.8,15,11.2
idée cadeaux parents pour noel,https://www.altermundi.com/fr/idees-cadeaux/guide-eco-responsable/idees-cadeaux-noel-parents/,Content not available,10886782,0,0,49.333333333333336,67.4,12,16
idée cadeau made in france,https://www.altermundi.com/fr/idees-cadeaux/criteres/cadeaux-made-in-france/,Content not available,10886783,0,0,50,41,6.333333333333333,4.6
sac a dos pour homme,https://www.altermundi.com/fr/homme/accessoires-homme/sacs-a-dos-homme/,Content not available,10886784,0,0,17.333333333333332,57,5.333333333333333,24.6
